bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018
10000052,d0a567cf,Elektrizitätswerk Rohmund GmbH,Elektrizitätswerk Rohmund GmbH,7.0,7.0,14.0,,,,,,,7.0,7.0,14.0,,,,,,
10000053,a54715ad,Gemeindewerke Kiefersfelden Strom- Gas- und Wasserversorgung,Gemeindewerke Kiefersfelden,14.0,10.0,24.0,,,,,,,10.0,14.0,24.0,,,,,,
10000055,fbcfb88f,Elektrizitätswerk Hindelang eG,Elektrizitätswerk Hindelang eG,10.0,10.0,20.0,,,,,,,10.0,10.0,20.0,,,,,,
10000057,d8c5eb6e,Gemeindewerke Ebersdorf,Gemeindewerke Ebersdorf,7.0,7.0,14.0,7.0,7.0,14.0,,,,7.0,7.0,14.0,,,,,,
10000058,a53476d7,Stadtwerke Germersheim GmbH,Stadtwerke Germersheim GmbH,20.0,90.0,110.0,,,,,,,21.0,28.0,49.0,56.0,180.0,236.0,,,
10000060,a172a8b0,Stadtwerke Schorndorf GmbH,Stadtwerke Schorndorf GmbH,30.0,90.0,120.0,,,,,,,30.0,90.0,120.0,,,,,,
10000062,3b54c115,Gemeindewerke Steißlingen,Gemeindewerke Steißlingen,7.0,10.0,17.0,40.0,25.0,65.0,,,,9.0,12.0,21.0,,,,,,
10000065,45b20ace,Stadtwerke Versmold GmbH,Stadtwerke Versmold GmbH,14.0,28.0,42.0,42.0,178.0,220.0,,,,14.0,14.0,28.0,42.0,80.0,122.0,,,
10000075,5a194082,Stadtwerke Bliestal GmbH,Stadtwerke Bliestal GmbH,25.0,30.0,55.0,30.0,300.0,330.0,,,,21.0,15.0,36.0,30.0,300.0,330.0,,,
10000080,29280743,Stadtwerke Gengenbach,Stadtwerke Gengenbach -Versorgungsbetriebe-,12.0,1.0,13.0,12.0,1.0,13.0,,,,10.0,1.0,11.0,,,,,,
10000085,cc5c918a,Gemeindewerke Peißenberg KU,Kommunalunternehmen Gemeindewerke Peißenberg,15.0,15.0,30.0,30.0,30.0,60.0,,,,15.0,15.0,30.0,30.0,30.0,60.0,,,
10000086,1d2296b6,Stadtwerke Malchow,Stadtwerke Malchow,,,,,,,,,,,,,,,,,,
10000091,7540fe48,Getreidemühle Zwiefalten eG,Getreidemühle Zwiefalten eG,14.0,0.0,14.0,,,,,,,3.0,3.0,6.0,,,,,,
10000096,82ff6e18,Stadtwerke Sulzbach/Saar GmbH,Stadtwerke Sulzbach/Saar GmbH,90.0,90.0,180.0,90.0,90.0,180.0,,,,14.0,90.0,104.0,20.0,90.0,110.0,,,
10000098,921ffcf6,Stadtwerke Wernigerode GmbH,Stadtwerke Wernigerode GmbH,22.0,58.0,80.0,50.0,225.0,275.0,,,,28.0,50.0,78.0,60.0,300.0,360.0,,,
10000100,e967c000,Licht- und Kraftwerke Sonneberg GmbH,Licht- und Kraftwerke Sonneberg GmbH,20.0,150.0,170.0,30.0,220.0,250.0,,,,20.0,60.0,80.0,20.0,95.0,115.0,,,
10000109,80ad5a12,Stadtwerke Burgbernheim,Stadt Burgbernheim - Stadtwerke,19.0,32.0,51.0,,,,,,,13.0,34.0,47.0,,,,,,
10000110,00751f64,Stadtwerke Schweinfurt GmbH,Stadtwerke Schweinfurt GmbH,30.0,45.0,75.0,30.0,150.0,180.0,,,,2.0,1.0,3.0,3.0,360.0,363.0,,,
10000118,8818350c,Elektrizitäts-Genossenschaft Röthenbach eG,Elektrizitäts-Genossenschaft Röthenbach eG,12.0,20.0,32.0,22.0,28.0,50.0,,,,7.0,10.0,17.0,,,,,,
10000120,a4cc54ef,Stadtwerke Stein GmbH & Co. KG,Stadtwerke Stein GmbH & Co. KG,2.0,15.0,17.0,,,,,,,2.0,15.0,17.0,,,,,,
