bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019
10000052,d0a567cf,Elektrizitätswerk Rohmund GmbH,Elektrizitätswerk Rohmund GmbH,nan,0.1,0.0,0.0,nan,0.17,0.03,nan,0.0,0.0,nan,0.0,0.0,0.0,nan,0.0,nan,nan,0.68
10000053,a54715ad,Gemeindewerke Kiefersfelden Strom- Gas- und Wasserversorgung,Gemeindewerke Kiefersfelden,0.24,0.03,0.07,0.67,0.2,0.04,0.0,nan,0.0,0.5,nan,0.0,0.67,0.67,nan,0.0,0.0,nan,0.59
10000055,fbcfb88f,Elektrizitätswerk Hindelang eG,Elektrizitätswerk Hindelang eG,0.3,0.21,0.0,0.81,0.2,0.06,0.42,nan,0.0,0.0,nan,0.0,0.67,1.0,nan,0.0,0.0,nan,0.59
10000057,d8c5eb6e,Gemeindewerke Ebersdorf,Gemeindewerke Ebersdorf,nan,0.05,0.04,0.32,nan,0.02,0.3,nan,0.0,0.5,nan,0.0,0.27,0.67,nan,1.0,0.0,nan,nan
10000058,a53476d7,Stadtwerke Germersheim GmbH,Stadtwerke Germersheim GmbH,0.32,0.22,0.33,0.45,0.29,0.05,0.52,nan,0.5,0.5,nan,0.0,0.33,0.67,nan,0.0,0.0,nan,0.88
10000060,a172a8b0,Stadtwerke Schorndorf GmbH,Stadtwerke Schorndorf GmbH,0.34,0.39,0.0,0.67,0.29,0.31,0.78,nan,0.0,0.0,nan,0.0,0.67,0.67,nan,0.0,0.0,nan,0.88
10000062,3b54c115,Gemeindewerke Steißlingen,Gemeindewerke Steißlingen,0.16,0.05,0.0,0.3,0.28,0.05,0.06,nan,0.0,0.0,nan,0.0,0.3,0.3,nan,0.0,0.0,nan,0.85
10000065,45b20ace,Stadtwerke Versmold GmbH,Stadtwerke Versmold GmbH,0.24,0.1,0.0,0.55,0.29,0.06,0.2,nan,0.0,0.0,nan,0.0,0.63,0.37,nan,0.0,0.0,nan,0.88
10000075,5a194082,Stadtwerke Bliestal GmbH,Stadtwerke Bliestal GmbH,0.24,0.07,0.08,0.61,0.23,0.0,0.3,nan,0.0,0.5,nan,0.0,0.6,0.63,nan,0.0,0.0,nan,0.68
10000080,29280743,Stadtwerke Gengenbach,Stadtwerke Gengenbach -Versorgungsbetriebe-,0.21,0.09,0.44,0.11,0.23,0.09,0.07,nan,0.5,1.0,nan,0.0,0.0,0.33,nan,0.0,0.0,nan,0.68
10000085,cc5c918a,Gemeindewerke Peißenberg KU,Kommunalunternehmen Gemeindewerke Peißenberg,0.26,0.17,0.0,0.28,0.6,0.15,0.3,nan,0.0,0.0,nan,0.0,0.27,0.33,nan,0.6,0.6,nan,0.59
10000086,1d2296b6,Stadtwerke Malchow,Stadtwerke Malchow,0.24,0.31,0.0,0.39,0.28,0.3,0.32,nan,0.0,0.0,nan,0.0,0.3,0.67,nan,0.0,0.0,nan,0.83
10000091,7540fe48,Getreidemühle Zwiefalten eG,Getreidemühle Zwiefalten eG,0.16,0.03,0.0,0.33,0.25,0.04,0.0,nan,0.0,0.0,nan,0.0,0.33,0.33,nan,0.0,0.0,nan,0.76
