bnr,vnb_id,firmenname,bnetza_name,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064
10000052,d0a567cf,Elektrizitätswerk Rohmund GmbH,Elektrizitätswerk Rohmund GmbH,37.0,0.0,0.0,33.0,0.0,0.0,0.0,33.0,37.0,0.8919,,,,,,,,,,,,,,,,,,,,,2.0,0.0,0.0,6.0,5.0,3.0,0.0,0.0,8.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000053,a54715ad,Gemeindewerke Kiefersfelden Strom- Gas- und Wasserversorgung,Gemeindewerke Kiefersfelden,94.0,0.0,0.0,74.0,22.0,0.0,0.0,96.0,94.0,1.0213,,,,,,,,,,,,,,,,,,,,,13.0,0.0,74.0,1.0,88.0,0.0,0.0,0.0,88.0,88.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000055,fbcfb88f,Elektrizitätswerk Hindelang eG,Elektrizitätswerk Hindelang eG,55.0,0.0,0.0,53.0,2.0,,,55.0,55.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,3.0,43.0,6.0,49.0,8.0,2.0,,59.0,59.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000057,d8c5eb6e,Gemeindewerke Ebersdorf,Gemeindewerke Ebersdorf,95.0,0.0,0.0,0.0,95.0,0.0,0.0,95.0,95.0,1.0,,,,,,,,,,,,,,,,,,,,,12.0,0.0,38.0,5.0,0.0,55.0,0.0,0.0,55.0,55.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000058,a53476d7,Stadtwerke Germersheim GmbH,Stadtwerke Germersheim GmbH,85.0,0.0,0.0,58.0,0.0,0.0,0.0,58.0,85.0,0.6824,,,,,,,,,,,,,,,,,,,,,14.0,0.0,56.0,9.0,43.0,24.0,0.0,0.0,67.0,79.0,0.8481,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,0.4,,,,,,,,,,,
10000060,a172a8b0,Stadtwerke Schorndorf GmbH,Stadtwerke Schorndorf GmbH,281.0,0.0,0.0,248.0,28.0,,,276.0,281.0,0.9822,,,,,,,,,,,,,,,,,,,,,46.0,0.0,167.0,,175.0,33.0,5.0,0.0,213.0,213.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000062,3b54c115,Gemeindewerke Steißlingen,Gemeindewerke Steißlingen,83.0,0.0,0.0,62.0,18.0,3.0,0.0,83.0,83.0,1.0,,,,,,,,,,,,,,,,,,,,,10.0,0.0,66.0,20.0,86.0,8.0,2.0,0.0,96.0,96.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000065,45b20ace,Stadtwerke Versmold GmbH,Stadtwerke Versmold GmbH,195.0,0.0,0.0,123.0,70.0,0.0,3.0,196.0,195.0,1.0051,,,,,,,,,,,,,,,,,,,,,33.0,0.0,170.0,28.0,192.0,0.0,3.0,0.0,195.0,231.0,0.8442,0.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,3.0,4.0,0.75,,,,,,,,,,,
10000075,5a194082,Stadtwerke Bliestal GmbH,Stadtwerke Bliestal GmbH,107.0,0.0,0.0,20.0,77.0,9.0,1.0,107.0,107.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,,,,,,,,,,,30.0,5.0,73.0,34.0,28.0,104.0,10.0,0.0,142.0,142.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000080,29280743,Stadtwerke Gengenbach,Stadtwerke Gengenbach -Versorgungsbetriebe-,26.0,,,0.0,26.0,0.0,0.0,26.0,26.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,0.0,12.0,10.0,27.0,0.0,0.0,0.0,27.0,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000085,cc5c918a,Gemeindewerke Peißenberg KU,Kommunalunternehmen Gemeindewerke Peißenberg,215.0,0.0,0.0,200.0,5.0,0.0,0.0,205.0,215.0,0.9535,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000086,1d2296b6,Stadtwerke Malchow,Stadtwerke Malchow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000091,7540fe48,Getreidemühle Zwiefalten eG,Getreidemühle Zwiefalten eG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,3.0,11.0,0.2727,,,,,,,,,,,,,,,,,,,,,,,
10000096,82ff6e18,Stadtwerke Sulzbach/Saar GmbH,Stadtwerke Sulzbach/Saar GmbH,502.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,504.0,0.0079,7.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,7.0,0.2857,,,,,,,,,,,86.0,0.0,72.0,10.0,1.0,1.0,1.0,1.0,4.0,168.0,0.0238,,,,,,,,,,,,,,,,,,,,,,,
10000098,921ffcf6,Stadtwerke Wernigerode GmbH,Stadtwerke Wernigerode GmbH,308.0,0.0,0.0,139.0,169.0,0.0,0.0,308.0,308.0,1.0,,,,,,,,,,,,,,,,,,,,,30.0,0.0,123.0,15.0,42.0,126.0,0.0,0.0,168.0,168.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000100,e967c000,Licht- und Kraftwerke Sonneberg GmbH,Licht- und Kraftwerke Sonneberg GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,0.0,84.0,15.0,24.0,0.0,0.0,0.0,24.0,119.0,0.2017,,,,,,,,,,,,,,,,,,,,,,,
10000109,80ad5a12,Stadtwerke Burgbernheim,Stadt Burgbernheim - Stadtwerke,54.0,0.0,0.0,20.0,30.0,4.0,,54.0,54.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,,48.0,3.0,3.0,2.0,3.0,,8.0,58.0,0.1379,,,,,,,,,,,,,,,,,,,,,,,
10000110,00751f64,Stadtwerke Schweinfurt GmbH,Stadtwerke Schweinfurt GmbH,772.0,0.0,0.0,0.0,525.0,130.0,0.0,655.0,772.0,0.8484,,,,,,,,,,,,,,,,,,,,,31.0,17.0,372.0,17.0,0.0,8.0,2.0,0.0,10.0,437.0,0.0229,0.0,8.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,5.0,9.0,0.5556,,,,,,,,,,,
10000118,8818350c,Elektrizitäts-Genossenschaft Röthenbach eG,Elektrizitäts-Genossenschaft Röthenbach eG,137.0,0.0,0.0,69.0,68.0,0.0,0.0,137.0,137.0,1.0,,,,,,,,,,,,,,,,,,,,,13.0,0.0,86.0,12.0,56.0,55.0,0.0,0.0,111.0,111.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000120,a4cc54ef,Stadtwerke Stein GmbH & Co. KG,Stadtwerke Stein GmbH & Co. KG,107.0,0.0,0.0,0.0,107.0,0.0,0.0,107.0,107.0,1.0,,,,,,,,,,,,,,,,,,,,,7.0,0.0,95.0,10.0,0.0,112.0,0.0,0.0,112.0,112.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000126,f43efe4a,Elektrizitätswerk Stern KG Bad Endorf,Elektrizitätswerk Stern KG Bad Endorf,179.0,0.0,0.0,7.0,159.0,13.0,0.0,179.0,179.0,1.0,,,,,,,,,,,,,,,,,,,,,23.0,0.0,69.0,12.0,0.0,104.0,0.0,0.0,104.0,104.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000127,23943550,EWR GmbH,EWR GmbH,857.0,0.0,0.0,110.0,690.0,50.0,7.0,857.0,857.0,1.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000140,4d4b1fb0,Vereinigte Wertach-Elektrizitätswerke GmbH,Vereinigte Wertach-Elektrizitätswerke GmbH,570.0,0.0,0.0,10.0,84.0,16.0,0.0,110.0,570.0,0.193,12.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,0.0833,,,,,,,,,,,137.0,111.0,415.0,67.0,0.0,90.0,19.0,0.0,109.0,730.0,0.1493,,,,,,,,,,,,,,,,,,,,,,,
10000141,6fd3798d,Stadtwerke Altdorf GmbH,Stadtwerke Altdorf GmbH,186.0,0.0,0.0,186.0,,,,186.0,186.0,1.0,,,,,,,,,,,,,,,,,,,,,24.0,0.0,144.0,27.0,195.0,,,,195.0,195.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
10000148,c353bbe3,Stadtwerke Elmshorn,Stadtwerke Elmshorn,652.0,0.0,0.0,450.0,202.0,0.0,0.0,652.0,652.0,1.0,,,,,,,,,,,,,,,,,,,,,152.0,0.0,262.0,113.0,527.0,,,,527.0,527.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
