vnb_name,Modul1&2,Modul3,Modul3-MaKo,Modul3-Abrechnung-Frist,Modul3-Abrechnung-Korrektheit,aggregated_score,updated_at
SachsenNetze GmbH,0,0,0,0,0,0,2025-11-18
SachsenNetze HS.HD GmbH,0,0,0,0,0,0,2025-11-18
Stadtwerke Riesa GmbH,0,0,0,0,0,0,2025-11-18
Stadtwerke Elbtal GmbH,0,0,0,0,0,0,2025-11-18
Meißener Stadtwerke GmbH,0,0,0,0,0,0,2025-11-18
Freitaler Stadtwerke GmbH,0,0,0,0,0,0,2025-11-18
Stadtwerke Pirna Energie GmbH,0,0,0,0,0,0,2025-11-18
Energie und Wasserversorgung Aktiengesellschaft Kamenz,0,0,0,0,0,0,2025-11-18
Stadtwerke Senftenberg GmbH,0,0,0,0,0,0,2025-11-18
BASF Schwarzheide GmbH,0,0,0,0,0,0,2025-11-18
Energie- und Wasserwerke Bautzen GmbH,0,0,0,0,0,0,2025-11-18
Stadtwerke Löbau GmbH,0,0,0,0,0,0,2025-11-18
Stadtwerke Zittau GmbH,0,0,0,0,0,0,2025-11-18
Stadtwerke Görlitz AG,0,0,0,0,0,0,2025-11-18
Stadtwerke Niesky GmbH,0,0,0,0,0,0,2025-11-18
Stadtwerke Weißwasser GmbH,0,0,0,0,0,0,2025-11-18
Versorgungsbetriebe Hoyerswerda GmbH,0,0,0,0,0,0,2025-11-18
Elektroenergieversorgung Cottbus GmbH,0,0,0,0,0,0,2025-11-18
Städtische Werke Spremberg (Lausitz) GmbH,0,0,0,0,0,0,2025-11-18
enercity Netzgesellschaft mbH,0,0,0,0,0,0,2025-11-18
Avacon Netz GmbH,0,0,0,0,0,0,2025-11-18
Stromnetz Hamburg GmbH,0,0,0,0,0,0,2025-11-18
