bnetza_name,feedback_count,raw_names,first_response,last_response,BNR,anschlusspunkte_ns_msns_2024,flaeche_ns_km2_2024,feedback_class
Alliander Netz Heinsberg GmbH,7,Alliander Netz Heinsberg GmbH,2026-02-19 15:02:56,2026-02-19 15:32:00,10000701,14919.0,20.66,5+
Avacon Netz GmbH,1,Avacon Netz GmbH,2026-02-25 09:55:48,2026-02-25 09:55:48,10010461,738447.0,1749.0,1
Bayernwerk Netz GmbH,5,Bayernwerk Netz GmbH,2026-02-19 15:35:14,2026-03-03 06:46:36,10010463,1700493.0,4089.0,5+
Bonn-Netz GmbH,1,Bonn-Netz GmbH,2026-02-22 22:22:18,2026-02-22 22:22:18,10001858,75507.0,64.0,1
Dortmunder Netz GmbH,1,Dortmunder Netz GmbH,2026-02-22 08:11:03,2026-02-22 08:11:03,10001880,120554.0,140.5,1
E.DIS Netz GmbH,1,E.DIS Netz GmbH,2026-03-02 15:04:05,2026-03-02 15:04:05,10010465,951611.0,2529.0,1
EWE NETZ GmbH,2,EWE NETZ GmbH,2026-02-23 19:51:19,2026-02-23 19:51:19,10001846,950549.0,2149.0,2
Energie- und Wasserversorgung Hamm GmbH,1,Energie- und Wasserversorgung Hamm GmbH,2026-02-21 08:10:57,2026-02-21 08:10:57,10003295,43026.0,226.4,1
Energie- und Wasserversorgung Rheine GmbH,1,Energie- und Wasserversorgung Rheine GmbH,2026-02-21 18:46:01,2026-02-21 18:46:01,10000191,22542.0,36.95,1
Energienetze Offenbach GmbH,1,Energieversorgung Offenbach,2026-03-09 02:06:41,2026-03-09 02:06:41,10008552,43244.0,50.57,1
Energieversorgung Halle Netz GmbH,2,Energieversorgung Halle Netz GmbH,2026-02-24 17:38:07,2026-02-24 17:38:07,10001870,33559.0,53.19,2
FairNetz GmbH,2,FairNetz GmbH,2026-02-24 07:46:32,2026-03-02 23:04:14,10006804,61301.0,67.46,2
"GGEW, Gruppen-Gas- und Elektrizitätswerk Bergstraße AG",2,GGEW,2026-02-26 19:49:42,2026-02-26 19:49:42,10000495,36981.0,47.8,2
Gemeindewerke Markt Lichtenau,5,Gemeindewerke Markt Lichtenau,2026-02-19 16:35:31,2026-02-19 21:31:23,10000483,1451.0,4.15,5+
Hamburger Energienetze GmbH,2,Hamburger Energienetze GmbH,2026-02-20 17:59:46,2026-02-25 09:55:48,10001835,317090.0,364.35,2
Harz Energie Netz GmbH,2,Harz Energie Netz GmbH,2026-02-20 07:20:17,2026-02-20 16:13:16,10002813,72091.0,153.0,2
Kommunalunternehmen Gemeindewerke Peißenberg,2,Gemeindewerke Peißenberg KU,2026-02-20 08:19:33,2026-02-21 08:28:03,10000085,8044.0,11.4,2
Mainfranken Netze GmbH,1,Mainfranken Netze GmbH,2026-02-26 07:34:17,2026-02-26 07:34:17,10003071,52814.0,80.47,1
Mainzer Netze GmbH,1,Mainzer Netze GmbH,2026-02-20 18:09:42,2026-02-20 18:09:42,10003079,81437.0,101.06,1
Mitteldeutsche Netzgesellschaft Strom mbH,1,Mitteldeutsche Netzgesellschaft Strom mbH,2026-02-27 19:08:08,2026-02-27 19:08:08,10001645,880756.0,2460.76038187251,1
Mittelhessen Netz GmbH,1,Mittelhessen Netz GmbH,2026-02-22 22:25:28,2026-02-22 22:25:28,10003011,41298.0,80.972,1
NEW Netz GmbH,1,NEW Netz GmbH,2026-02-20 10:23:10,2026-02-20 10:23:10,10001788,230948.0,277.11,1
NRM Netzdienste Rhein-Main GmbH,2,NRM Netzdienste Rhein-Main GmbH,2026-02-19 16:46:25,2026-02-21 05:17:28,10001294,99816.0,95.0,2
Netz Leipzig GmbH,1,Netz Leipzig GmbH,2026-03-01 02:51:02,2026-03-01 02:51:02,10001882,75852.0,141.6,1
Netze BW GmbH,6,Netze BW GmbH | NetzeBW,2026-02-19 16:31:20,2026-02-24 16:20:44,10000843,1296433.0,2208.16,5+
Netze Magdeburg GmbH,3,Netze Magdeburg GmbH,2026-02-27 21:45:37,2026-02-27 21:45:37,10001891,45318.0,66.96,3
OsthessenNetz GmbH,3,RhönEnergie Fulda,2026-02-20 18:40:43,2026-02-20 18:40:43,10001747,90663.0,224.0,3
RheinNetz GmbH,5,RheinNetz GmbH,2026-02-23 13:40:21,2026-02-23 13:40:21,10001817,393337.0,534.76,5+
SWE Netz GmbH,1,SWE Netz GmbH,2026-02-25 12:22:19,2026-02-25 12:22:19,10003039,44849.0,69.46,1
SWE Netz GmbH,1,SWE Netz GmbH,2026-02-25 12:22:19,2026-02-25 12:22:19,10003627,24995.0,19.8,1
SWL Verteilungsnetzgesellschaft mbH,1,SWL Verteilungsnetzgesellschaft mbH,2026-02-26 21:25:54,2026-02-26 21:25:54,10003110,11980.0,36.18,1
SWM Infrastruktur GmbH & Co. KG,1,SWM Infrastruktur GmbH & Co. KG,2026-02-25 07:15:28,2026-02-25 07:15:28,10001016,185818.0,231.73,1
SWO Netz GmbH,1,SWO Netz GmbH,2026-03-02 16:13:17,2026-03-02 16:13:17,10003782,124391.0,76.093,1
SWP Stadtwerke Pforzheim GmbH & Co. KG,1,SWP Stadtwerke Pforzheim GmbH & Co. KG,2026-02-19 19:46:03,2026-02-19 19:46:03,10000996,35674.0,36.779,1
SWT Stadtwerke Trier Versorgungs-GmbH,1,SWT Stadtwerke Trier Versorgungs-GmbH,2026-02-20 18:09:42,2026-02-20 18:09:42,10001285,23173.0,34.29,1
SachsenNetze GmbH,4,SachsenNetze GmbH,2026-02-19 16:03:24,2026-03-04 14:13:43,10002941,75568.0,130.57,4
SachsenNetze HS.HD GmbH,1,SachsenNetze HS.HD GmbH,2026-02-23 08:28:47,2026-02-23 08:28:47,10001874,235740.0,601.0,1
Schleswig-Holstein Netz GmbH,3,Schleswig-Holstein Netz GmbH,2026-02-25 09:55:48,2026-02-25 23:25:42,10013923,516768.0,1245.0,3
Stadtwerke Bad Windsheim,1,Stadtwerke Bad Windsheim,2026-02-19 18:00:31,2026-02-19 18:00:31,10000156,7739.0,63.68,1
Stadtwerke Frankenthal GmbH,1,Stadtwerke Frankenthal GmbH,2026-02-22 10:40:50,2026-02-22 10:40:50,10000873,18382.0,28.0,1
Stadtwerke Greven GmbH,1,Stadtwerke Greven GmbH,2026-02-22 09:43:49,2026-02-22 09:43:49,10000158,10925.0,23.53,1
Stadtwerke Heidelberg Netze GmbH,1,Stadtwerke Heidelberg Netze GmbH,2026-02-22 16:18:06,2026-02-22 16:18:06,10003223,27182.0,33.05,1
Stadtwerke Kaltenkirchen GmbH,1,Stadtwerke Kaltenkirchen GmbH,2026-02-25 09:55:48,2026-02-25 09:55:48,10003568,13629.0,9.0,1
Stadtwerke Karlsruhe Netzservice GmbH,1,Stadtwerke Karlsruhe Netzservice GmbH,2026-02-19 18:53:48,2026-02-19 18:53:48,10002798,189180.0,77.264,1
Stadtwerke Ludwigsburg - Kornwestheim GmbH,2,Stadtwerke Ludwigsburg-Kornwestheim GmbH,2026-02-23 08:55:26,2026-02-23 08:55:26,10003102,26575.0,26.33,2
