ID,Name
0b2d22e0,SachsenNetze GmbH
ad13be72,SachsenNetze HS.HD GmbH
0e7bd422,Stadtwerke Riesa GmbH
044f9b91,Stadtwerke Elbtal GmbH
7a340e36,Meißener Stadtwerke GmbH
96ffa483,Freitaler Stadtwerke GmbH
7ccf51f8,Stadtwerke Pirna Energie GmbH
b283205d,Energie und Wasserversorgung Aktiengesellschaft Kamenz
efb48028,Stadtwerke Senftenberg GmbH
66a1c4ac,BASF Schwarzheide GmbH
c9850879,Energie- und Wasserwerke Bautzen GmbH
50a2b3f4,Stadtwerke Löbau GmbH
20cdc2f5,Stadtwerke Zittau GmbH
fdb1c4d2,Stadtwerke Görlitz AG
47d6e656,Stadtwerke Niesky GmbH
cacbad99,Stadtwerke Weißwasser GmbH
daef09ce,Versorgungsbetriebe Hoyerswerda GmbH
382e84b7,Elektroenergieversorgung Cottbus GmbH
fb0bad75,Städtische Werke Spremberg (Lausitz) GmbH
4cf5cdc4,"Netzgesellschaft Forst (Lausitz) mbH & Co. KG"
5e31e0b2,Energieversorgung Guben GmbH
57c4fb46,Stadt- und Überlandwerke GmbH Luckau-Lübbenau
350a73fc,Stadtwerke Finsterwalde GmbH
afd10af4,Netz Leipzig GmbH
b8442920,Stadtwerke Schkeuditz GmbH
b34f5e3c,Stadtwerke Delitzsch GmbH
8b5ef500,Städtische Werke Borna Netz GmbH
f03c14d9,Energie- und Wasserversorgung Altenburg GmbH
c3b66878,Stadtwerke Döbeln GmbH
738ac62b,Stadtwerke Eilenburg GmbH
90f0f015,Stadtwerke Torgau GmbH
93d3d285,Energieversorgung Halle Netz GmbH
8bfbc6cc,Mitteldeutsche Netzgesellschaft Strom mbH
4fa53768,Verteilnetz Plauen GmbH
388424b1,Stadtwerke Merseburg GmbH
c8114833,Industrienetzgesellschaft Schkopau mbH
8eb2621e,Stadtwerke Lutherstadt Eisleben GmbH
1fdbb6f7,Stadtwerke Hettstedt GmbH
ffd0edb5,Stadtwerke Bernburg GmbH
bd80d44d,ASCANETZ GmbH
1d7d19bc,Stadtwerke Quedlinburg GmbH
ad848761,Stadtwerke Sangerhausen GmbH
06635360,Technische Werke Naumburg GmbH
e1535a32,Stadtwerke Weißenfels Energienetze GmbH
0531bccf,REDINET Burgenland GmbH
60c649c5,EVIP GmbH
d9756cc9,Netzgesellschaft Bitterfeld-Wolfen mbH
1b8a4503,Dessauer Stromversorgung GmbH
62414e99,Stadtwerke Lutherstadt Wittenberg GmbH
27b73a6a,Saalfelder Energienetze GmbH
c8be5a25,Elektrizitätswerk Max Peissker
c16a3a51,EnR Energienetze Rudolstadt GmbH
33d909cd,GeraNetz GmbH
19d502fb,Netzgesellschaft Eisenberg mbH
3939a41c,TRIDELTA Energieversorgungs GmbH
8ceac1ae,Stadtwerke Stadtroda GmbH
a39794c0,Stadtwerke Jena Netze GmbH
06beb693,Stadtwerke Neustadt an der Orla GmbH
60fa0c69,Energiewerke Zeulenroda GmbH
218f4912,Greizer Energienetze GmbH
c2e88979,Zwickauer Energieversorgung GmbH
afc33ca2,Elektrizitätswerk des Kantons Schaffhausen AG
e90525d2,Stadtwerke Aue - Bad Schlema GmbH
f7157822,Stadtwerke Schneeberg GmbH
a9f9739b,Stadtwerke Schwarzenberg GmbH
03f94845,Stadtwerke Glauchau Dienstleistungsgesellschaft mbH
6ef609af,Stadtwerke Meerane GmbH
ffbdc6a7,Stadtwerke Werdau GmbH
09574852,Stadtwerke Reichenbach/Vogtl. GmbH
bfc951ee,Stadtwerke OELSNITZ/V. GmbH
0fb413d7,inetz GmbH
3fdf6c5c,Stadtwerke Annaberg-Buchholz Energie AG
8694cada,Freiberger Stromversorgung GmbH
fcde1fab,Stadtwerke Olbernhau GmbH
3f9e15d8,ENGIE Deutschland GmbH
cb45bbfd,decarbon1ze GmbH
82c8ab84,Stromnetz Berlin GmbH
bdb7e292,Flughafen Energie & Wasser GmbH
3e40bffa,Energienetze Berlin GmbH
02de72df,GIG energy services GmbH
b2ca32fa,Netzgesellschaft Potsdam mbH
5be8896e,Stadtwerke Brandenburg an der Havel GmbH & Co. KG
