frage_id,option_reihenfolge,option_wert,option_label,option_beschreibung,option_folge_logik
actorTypes,1,buergerenergie,Bürgerenergiegenossenschaft,,"Zeigt Textfeld: ""Name der Genossenschaft (optional)"""
actorTypes,2,weg,Wohnungseigentümergemeinschaft,,
actorTypes,3,vermieter_privat,Vermieter/in - Privatperson,,
actorTypes,4,vermieter_prof_klein,Vermieter/in - Professionell (<100 Einheiten),,
actorTypes,5,vermieter_wohnungsunternehmen,Vermieter/in - Wohnungsunternehmen (>100 Einheiten),,
actorTypes,6,kommune,Kommune / kommunales Unternehmen,,
actorTypes,7,kmu,Kleine und Mittelständische Unternehmen (KMU),,
actorTypes,8,dienstleister,Dienstleister für GGV/Mieterstrom/Energy Sharing,,
actorTypes,9,installateur,Installateur von PV-Anlagen,,
actorTypes,10,msb,Wettbewerblicher Messstellenbetreiber,,
actorTypes,11,stadtwerk,Stadtwerk/EVU,,
actorTypes,12,andere,Andere,,"Zeigt Textfeld: ""Bitte beschreiben"""
actorDienstleisterCategory,1,data_provision,Datenbereitstellung (ESA-Zugang zu gMSB-Werten),,
actorDienstleisterCategory,2,invoicing_prep,Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
actorDienstleisterCategory,3,full_settlement,Vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
actorDienstleisterCategory,4,metering_full,Messstellenbetrieb inkl. Datenbereitstellung,,
actorDienstleisterCategory,5,metering_invoicing_prep,Messstellenbetrieb inkl. Datenbereitstellung und Vorbereitung der Abrechnung (durchzuführen durch den Betreiber),,
actorDienstleisterCategory,6,metering_full_settlement,Messstellenbetrieb und vollständige Abrechnung mit Teilnehmenden (im Auftrag des Betreibers oder auf eigenes Risiko),,
actorDienstleisterCategory,7,beratung,Beratung für Immobilieneigentümer zur Umsetzung von GGV/Mieterstrom,,
actorDienstleisterCategory,8,software,"Software / IT-Plattform für Dienstleister, MSB und/oder VNB",,
actorDienstleisterCategory,9,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
motivation,1,pv_nutzung,Wir werden auf jeden Fall eine PV-Anlage bauen (oder haben diese schon gebaut) und möchten den Strom vor Ort nutzen,,
motivation,2,energiewende,"Wir möchten gerne Energiewende vor Ort umsetzen - sobald die Nutzung geklärt ist, kommt die PV-Anlage",,
motivation,3,geschaeft,Der Bau und Betrieb von PV-Anlagen ist ein wesentliches Anliegen von unserem Unternehmen/Verein,,
motivation,4,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
confirmationForUpdate,1,ja,"Ja, ich möchte eine Info erhalten",,
confirmationForUpdate,2,nein,"Nein, ich schaue selber online nach Updates",,
projectTypes,1,ggv,GGV (Gemeinschaftliche Gebäudeversorgung),,
projectTypes,2,mieterstrom,Mieterstrom,,
projectTypes,3,ggv_oder_mieterstrom,Entweder GGV oder Mieterstrom (nur für Projekte im Planungsstadium),,
projectTypes,4,energysharing,Energy Sharing (in Zukunft möglich),,
planningStatus,1,info_sammeln,"Wir haben grundsätzliches Interesse, sammeln derzeit Informationen",,
planningStatus,2,planung_stockt_ggv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Umsetzung GGV/Mieterstrom",,
planningStatus,3,planung_stockt_pv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Installation der PV-Anlage",,
planningStatus,4,planung_fast_fertig,Wir sind fast fertig mit der Planung,,
planningStatus,5,pv_laeuft_ggv_planung,"Die PV-Anlage läuft schon, aber die GGV/Mieterstrom ist noch in Planung",,
planningStatus,6,pv_laeuft_ggv_laeuft,Die PV-Anlage läuft bereits mit GGV/Mieterstrom,,
planningStatus,7,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
mieterstromPlanningStatus,1,info_sammeln,"Wir haben grundsätzliches Interesse, sammeln derzeit Informationen",,
mieterstromPlanningStatus,2,planung_stockt_ggv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Umsetzung des Mieterstroms",,
mieterstromPlanningStatus,3,planung_stockt_pv,"Wir sind fortgeschritten in der Planung, aber es stockt mit der Installation der PV-Anlage",,
mieterstromPlanningStatus,4,planung_fast_fertig,Wir sind fast fertig mit der Planung,,
mieterstromPlanningStatus,5,pv_laeuft_ggv_planung,"Die PV-Anlage läuft schon, aber Mieterstrom ist noch in Planung",,
mieterstromPlanningStatus,6,pv_laeuft_ggv_laeuft,Die PV-Anlage läuft bereits mit Mieterstrom,,
mieterstromPlanningStatus,7,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
ggvProjectType,1,single,Ein einzelnes Projekt,,
ggvProjectType,2,multiple,Mehrere Projekte (im Fall von verschiedenen Verteilnetzbetreibern bitte einen zusätzlichen Verteilnetzbetreiber auswählen),,
ggvBuildingType,1,wohngebaeude,Wohngebäude,,
ggvBuildingType,2,gewerbe,Gewerbegebäude,,
ggvBuildingType,3,gemischt,Gemischt,,
mieterstromProjectType,1,single,Ein einzelnes Projekt,,
mieterstromProjectType,2,multiple,Mehrere Projekte (im Fall von verschiedenen Verteilnetzbetreibern bitte einen zusätzlichen Verteilnetzbetreiber auswählen),,
mieterstromBuildingType,1,wohngebaeude,Wohngebäude,,
mieterstromBuildingType,2,gewerbe,Gewerbegebäude,,
mieterstromBuildingType,3,gemischt,Gemischt,,
mieterstromFoerderung,1,ja,Ja,,
mieterstromFoerderung,2,nein,Nein,,
mieterstromFoerderung,3,weiss_nicht,Das wissen wir nicht,,
mieterstromFoerderungNeinGrund,1,beantragt_nicht_geklappt,"Wir würden gerne, aber das war/ist nicht so einfach",,"Zeigt Textfeld: ""Begründung"""
mieterstromFoerderungNeinGrund,2,bewusst_dagegen,Wir haben uns bewusst dagegen entschieden,,"Zeigt Textfeld: ""Begründung"""
ggvOrMieterstromDecision,1,sicher_ggv,Wir sind sicher: es wird/ist GGV,,
ggvOrMieterstromDecision,2,unsicher,Wir sind unsicher: es fehlen noch Informationen für eine finale Entscheidung,,
ggvOrMieterstromDecision,3,sicher_mieterstrom,Wir sind sicher: es wird/ist Mieterstrom,,
ggvDecisionReasons,1,buerokratie_mieterstrom,Wegen der bürokratischen Herausforderungen bei Mieterstrom,,
ggvDecisionReasons,2,reststrom_pflicht,Wegen der Pflicht zum Einkauf von Reststrom bei Mieterstrom,,
ggvDecisionReasons,3,ladesaeulen_waermepumpen,Weil die Einbindung von Ladesäulen/Wärmepumpen einfacher ist,,
ggvDecisionReasons,4,vnb_empfehlung,Weil unser Verteilnetzbetreiber das empfiehlt,,
ggvDecisionReasons,5,finanziell_attraktiver,Weil das finanziell attraktiver ist,,
ggvDecisionReasons,6,sonstiges,Sonstiges,,"Zeigt Textfeld: ""Details"""
mieterstromDecisionReasons,1,einfacher_umsetzung,Weil das in der Umsetzung einfacher zu sein scheint,,
mieterstromDecisionReasons,2,kein_dienstleister_ggv,Weil wir für die GGV nicht den richtigen Dienstleister finden,,
mieterstromDecisionReasons,3,vnb_empfehlung,Weil unser Verteilnetzbetreiber das empfiehlt,,
mieterstromDecisionReasons,4,vnb_kann_ggv_nicht,Weil der Verteilnetzbetreiber die GGV nicht umsetzen kann,,
mieterstromDecisionReasons,5,finanziell_attraktiver,Weil das finanziell attraktiver ist,,
