logik_id,quelle_frage_id,bedingung,ziel_frage_id,ziel_section_id,aktion,bemerkung
1,actorTypes,"actorTypes enthält ""dienstleister""",actorDienstleisterCategory,about,anzeigen,
2,actorTypes,"actorTypes enthält ""dienstleister""",dienstleisterWebsite,about,anzeigen,
3,actorTypes,"actorTypes enthält ""dienstleister""",dienstleisterKontakt,about,anzeigen,
4,projectTypes,"projectTypes enthält eines von [ggv, mieterstrom, ggv_oder_mieterstrom]",planningStatus,project,anzeigen,
5,projectTypes,"(projectTypes enthält ""mieterstrom"") UND (projectTypes enthält eines von [ggv, ggv_oder_mieterstrom])",mieterstromPlanningStatus,project,anzeigen,
6,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",ggvProjectType,project,anzeigen,
7,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",ggvPvSizeKw,project,anzeigen,
8,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",ggvPartyCount,project,anzeigen,
9,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",ggvBuildingType,project,anzeigen,
10,projectTypes,"(projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]) UND (ggvProjectType == ""multiple"")",ggvBuildingCount,project,anzeigen,
11,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",ggvAdditionalInfo,project,anzeigen,
12,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",projectLocations,project,anzeigen,
13,projectTypes,"projectTypes enthält ""mieterstrom""",mieterstromProjectType,project,anzeigen,
14,projectTypes,"projectTypes enthält ""mieterstrom""",mieterstromPvSizeKw,project,anzeigen,
15,projectTypes,"projectTypes enthält ""mieterstrom""",mieterstromPartyCount,project,anzeigen,
16,projectTypes,"projectTypes enthält ""mieterstrom""",mieterstromBuildingType,project,anzeigen,
17,projectTypes,"(projectTypes enthält ""mieterstrom"") UND (mieterstromProjectType == ""multiple"")",mieterstromBuildingCount,project,anzeigen,
18,projectTypes,"projectTypes enthält ""mieterstrom""",mieterstromAdditionalInfo,project,anzeigen,
19,projectTypes,"projectTypes enthält ""mieterstrom""",mieterstromFoerderung,project,anzeigen,
20,projectTypes,"(projectTypes enthält ""mieterstrom"") UND (mieterstromFoerderung == ""nein"")",mieterstromFoerderungNeinGrund,project,anzeigen,
21,projectTypes,"projectTypes enthält ""mieterstrom""",mieterstromProjectLocations,project,anzeigen,
22,projectTypes,"projectTypes enthält eines von [ggv, mieterstrom, ggv_oder_mieterstrom]",,planning,section_anzeigen,"Section ""3. Planung: Allgemeines – Planungsstand"" nur sichtbar wenn Bedingung erfüllt"
23,projectTypes,"((projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]) UND (NICHT((projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]) UND (planningStatus enthält ""pv_laeuft_ggv_laeuft"")))) ODER ((projectTypes enthält eines von [mieterstrom, ggv_oder_mieterstrom]) UND (NICHT((projectTypes enthält ""mieterstrom"") UND ((mieterstromPlanningStatus enthält ""pv_laeuft_ggv_laeuft"") ODER ((NICHT(projectTypes enthält eines von [ggv, ggv_oder_mieterstrom])) UND (planningStatus enthält ""pv_laeuft_ggv_laeuft""))))))",ggvOrMieterstromDecision,planning,anzeigen,
24,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",ggvDecisionReasons,planning,anzeigen,
25,projectTypes,"projectTypes enthält eines von [mieterstrom, ggv_oder_mieterstrom]",mieterstromDecisionReasons,planning,anzeigen,
26,projectTypes,"projectTypes enthält eines von [ggv, mieterstrom, ggv_oder_mieterstrom]",,challenges,section_anzeigen,"Section ""3. Planung: Allgemeines – Herausforderungen"" nur sichtbar wenn Bedingung erfüllt"
27,projectTypes,"projectTypes enthält eines von [ggv, ggv_oder_mieterstrom]",,vnb-planning,section_anzeigen,"Section ""4. Planung: Modellspezifisch – GGV"" nur sichtbar wenn Bedingung erfüllt"
28,vnbResponse,"vnbResponse enthält ""moeglich_wmsb""",vnbMsbTimeline,vnb-planning,anzeigen,
29,vnbResponse,"vnbResponse enthält ""nicht_moeglich""",vnbRejectionTimeline,vnb-planning,anzeigen,
30,vnbResponse,"vnbResponse enthält ""moeglich_gmssb""",,vnb-msb,section_anzeigen,"Section ""4. Planung: Modellspezifisch – GGV - MSB Details"" nur sichtbar wenn Bedingung erfüllt"
31,vnbAdditionalCosts,"vnbAdditionalCosts == ""ja""",vnbAdditionalCostsOneTime,vnb-msb,anzeigen,
32,vnbAdditionalCosts,"vnbAdditionalCosts == ""ja""",vnbAdditionalCostsYearly,vnb-msb,anzeigen,
33,vnbDataCost,"vnbDataCost == ""mehr_3_eur""",vnbDataCostAmount,vnb-msb,anzeigen,
